Customer,Program,City,County,Region,Allocation (kW),Jobs Committed,Date
Niacet Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,740,*,10/01/2023
Niacet Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,5110,164,10/01/2023
"Niagara Coatings Services, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,100,*,10/01/2023
"Niagara Coatings Services, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,200,28,10/01/2023
Niagara Falls Water Board,Replacement Power,Niagara Falls,Niagara,Western New York,1600,*,10/01/2023
Niagara Falls Water Board,Replacement Power,Niagara Falls,Niagara,Western New York,619,*,10/01/2023
Niagara Falls Water Board,Replacement Power,Niagara Falls,Niagara,Western New York,1425,0,10/01/2023
Niagara Refining LLC,Expansion Power,Depew,Erie,Western New York,400,54,10/01/2023
Niagara Refining LLC,Replacement Power,Depew,Erie,Western New York,2500,*,10/01/2023
"Niagara Sheets, LLC",Replacement Power,North Tonawanda,Niagara,Western New York,400,33,10/01/2023
"Niagara Specialty Metals, Inc.",Expansion Power,Akron,Erie,Western New York,700,44,10/01/2023
Nuttall Gear Company,Expansion Power,Niagara Falls,Niagara,Western New York,350,81,10/01/2023
"Oath Holdings, Inc.",Expansion Power,Lockport,Niagara,Western New York,15000,125,10/01/2023
"Oath Holdings, Inc.",Expansion Power,Lockport,Niagara,Western New York,6000,116,10/01/2023
Olin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,2290,*,10/01/2023
Olin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,15000,*,10/01/2023
Olin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,21300,*,10/01/2023
Olin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,40860,*,10/01/2023
Olin Corporation,Replacement Power,Niagara Falls,Niagara,Western New York,2000,210,10/01/2023
"PCB Piezotronics, Inc.",Replacement Power,Depew,Erie,Western New York,250,57,10/01/2023
"PCB Piezotronics, Inc.",Replacement Power,Depew,Erie,Western New York,200,*,10/01/2023
PeroxyChem LLC,Expansion Power,Tonawanda,Erie,Western New York,1500,*,10/01/2023
PeroxyChem LLC,Replacement Power,Tonawanda,Erie,Western New York,750,*,10/01/2023
PeroxyChem LLC,Replacement Power,Tonawanda,Erie,Western New York,5500,*,10/01/2023
PeroxyChem LLC,Replacement Power,Tonawanda,Erie,Western New York,2500,135,10/01/2023
Pine Pharmaceuticals LLC,Expansion Power,Tonawanda,Erie,Western New York,400,134,10/01/2023
Plug Power Inc.,Expansion Power,Alabama,Genesee,Finger Lakes,10000,*,10/01/2023
Plug Power Inc.,Replacement Power,Alabama,Genesee,Finger Lakes,50000,87,10/01/2023
"Polymer Conversions, Inc.",Expansion Power,Orchard Park,Erie,Western New York,300,165,10/01/2023
"Potsdam Specialty Paper, Inc.",Preservation Power,Potsdam,St. Lawrence,North Country,400,89,10/01/2023
"Precious Plate, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,800,*,10/01/2023
"Precious Plate, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,400,164,10/01/2023
"Precious Plate, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,210,*,10/01/2023
"Premium PPE, LLC",Expansion Power,Amherst,Erie,Western New York,100,27,10/01/2023
Pride Pak Canada Ltd.,Replacement Power,Medina,Orleans,Finger Lakes,1000,51,10/01/2023
"Protective Industries, Inc.",Expansion Power,Buffalo,Erie,Western New York,250,224,10/01/2023
"Protective Industries, Inc.",Expansion Power,Buffalo,Erie,Western New York,1660,*,10/01/2023
"Pyrotek, Inc.",Replacement Power,Sanborn,Niagara,Western New York,1000,29,10/01/2023
"Pyrotek, Inc.",Expansion Power,Sanborn,Niagara,Western New York,850,25,10/01/2023
"Pyrotek, Inc.",Replacement Power,Sanborn,Niagara,Western New York,400,*,10/01/2023
Republic Steel,Expansion Power,Blasdell,Erie,Western New York,7200,*,10/01/2023
Republic Steel,Replacement Power,Blasdell,Erie,Western New York,1900,237,10/01/2023
Republic Steel,Replacement Power,Blasdell,Erie,Western New York,2287,*,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,West Seneca,Erie,Western New York,200,*,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,Cheektowaga,Erie,Western New York,640,*,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,West Seneca,Erie,Western New York,910,*,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,West Seneca,Erie,Western New York,3000,199,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,Cheektowaga,Erie,Western New York,100,*,10/01/2023
"Rosina Food Products, Inc.",Expansion Power,Cheektowaga,Erie,Western New York,250,141,10/01/2023
Roth Industries USA,Preservation Power,Watertown,Jefferson,North Country,600,22,10/01/2023
"RubberForm Recycled Products, LLC",Expansion Power,Lockport,Niagara,Western New York,100,*,10/01/2023
"RubberForm Recycled Products, LLC",Replacement Power,Lockport,Niagara,Western New York,410,30,10/01/2023
Saint-Gobain Advanced Ceramics - Boron Nitride,Replacement Power,Amherst,Erie,Western New York,570,*,10/01/2023
Saint-Gobain Advanced Ceramics - Boron Nitride,Replacement Power,Amherst,Erie,Western New York,2500,56,10/01/2023
Saint-Gobain Advanced Structural Ceramics,Replacement Power,Niagara Falls,Niagara,Western New York,200,*,10/01/2023
Saint-Gobain Advanced Structural Ceramics,Replacement Power,Niagara Falls,Niagara,Western New York,2600,*,10/01/2023
Saint-Gobain Advanced Structural Ceramics,Replacement Power,Niagara Falls,Niagara,Western New York,1000,*,10/01/2023
Saint-Gobain Advanced Structural Ceramics,Replacement Power,Niagara Falls,Niagara,Western New York,700,114,10/01/2023
